iteration,prev_temp,cultivation_factor,soil_sold_out,demand
0,104000000,3000000,true,Increasing
1,103000000,5000000,true,Increasing
2,102000000,7000000,true,Increasing
3,101000000,9000000,true,Increasing
4,100000000,11000000,true,Increasing
5,99000000,13000000,true,Increasing
6,98000000,15000000,true,Increasing
7,97000000,17000000,true,Increasing
8,96000000,19000000,true,Increasing
9,95000000,21000000,true,Increasing
10,94000000,23000000,true,Increasing
